slug,brand_name,total_reports,flag_reason
rapid-release-pain-relief,RAPID RELEASE PAIN RELIEF,246992,"symptom word: ""pain"" | all generic words"
pain-relief-acetaminophen-extra-strength,PAIN RELIEF ACETAMINOPHEN EXTRA STRENGTH,246992,"symptom word: ""pain"" | retail phrase: ""extra strength"" | long name: 5 words | all generic words"
good-sense-pain-relief-arthritis-pain,GOOD SENSE PAIN RELIEF ARTHRITIS PAIN,246992,"symptom word: ""pain"" | long name: 6 words"
up-and-up-acetaminophen-infants,UP AND UP ACETAMINOPHEN INFANTS,246992,"retail phrase: ""infants"" | long name: 5 words"
vicks-painquil-pain-reliever,VICKS PAINQUIL PAIN RELIEVER,246992,"symptom word: ""pain"""
acetaminophen-pain-reliever-fever-reducer,ACETAMINOPHEN PAIN RELIEVER FEVER REDUCER,246992,"symptom word: ""pain"" | long name: 5 words"
children-acetaminophen,CHILDREN ACETAMINOPHEN,246992,all generic words
acetaminophen-regular-strength,ACETAMINOPHEN REGULAR STRENGTH,246992,"retail phrase: ""regular strength"" | all generic words"
childrens-pain-and-fever-relief,CHILDRENS PAIN AND FEVER RELIEF,246992,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words | all generic words"
signature-care-pain-relief,SIGNATURE CARE PAIN RELIEF,246992,"symptom word: ""pain"""
rugby-regular-strength-acetaminophen,RUGBY REGULAR STRENGTH ACETAMINOPHEN,246992,"retail phrase: ""regular strength"""
up-and-up-childrens-acetaminophen,UP AND UP CHILDRENS ACETAMINOPHEN,246992,"retail phrase: ""childrens"" | long name: 5 words"
dg-health-pain-relief,DG HEALTH PAIN RELIEF,246992,"symptom word: ""pain"""
childrens-chewable-acetaminophen,CHILDRENS CHEWABLE ACETAMINOPHEN,246992,"form word: ""chewable"" | retail phrase: ""childrens"" | all generic words"
good-sense-pain-relief,GOOD SENSE PAIN RELIEF,246992,"symptom word: ""pain"""
dg-health-childrens-pain-and-fever,DG HEALTH CHILDRENS PAIN AND FEVER,246992,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words"
parents-choice-infants-pain-and-fever,PARENTS CHOICE INFANTS PAIN AND FEVER,246992,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 6 words"
signature-care-infants-pain-relief,SIGNATURE CARE INFANTS PAIN RELIEF,246992,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 5 words"
genexa-infants-pain-and-fever,GENEXA INFANTS PAIN AND FEVER,246992,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 5 words"
walgreen-childrens-pain-plus-fever,WALGREEN CHILDRENS PAIN PLUS FEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words"
kosher-meds-childrens-pain-and-fever,KOSHER MEDS CHILDRENS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words"
kroger-children-pain-plus-fever-chewables,KROGER CHILDREN PAIN PLUS FEVER CHEWABLES,246991,"symptom word: ""pain"" | long name: 6 words"
leader-infants-pain-and-fever,LEADER INFANTS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 5 words"
pediacare-childrens-acetaminophen-grape,PEDIACARE CHILDRENS ACETAMINOPHEN GRAPE,246991,"retail phrase: ""childrens"""
topcare-8-hr-arthritis-pain-relief,TOPCARE 8 HR ARTHRITIS PAIN RELIEF,246991,"symptom word: ""arthritis"" | long name: 6 words"
mommys-bliss-childrens-pain-and-fever,MOMMYS BLISS CHILDRENS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words"
genexa-acetaminophen-extra-strength,GENEXA ACETAMINOPHEN EXTRA STRENGTH,246991,"retail phrase: ""extra strength"""
dg-health-8-hour-pain-relief,DG HEALTH 8 HOUR PAIN RELIEF,246991,"symptom word: ""pain"" | long name: 6 words"
leader-8hr-arthritis-pain-relief,LEADER 8HR ARTHRITIS PAIN RELIEF,246991,"symptom word: ""arthritis"" | long name: 5 words"
topcare-pain-relief,TOPCARE PAIN RELIEF,246991,"symptom word: ""pain"""
leader-childrens-pain-and-fever,LEADER CHILDRENS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words"
rapidol-500-extra-strength,RAPIDOL 500 EXTRA STRENGTH,246991,"retail phrase: ""extra strength"""
little-remedies-infant-feverpain-reliever,LITTLE REMEDIES INFANT FEVER/PAIN RELIEVER,246991,"symptom word: ""fever"" | long name: 6 words"
maximum-strength-non-aspirin-250,MAXIMUM STRENGTH NON-ASPIRIN 250,246991,"retail phrase: ""maximum strength"" | long name: 5 words | all generic words"
cvs-childrens-pain-plus-fever-relief,CVS CHILDRENS PAIN PLUS FEVER RELIEF,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words"
pain-relief-fever-reducer-children,PAIN RELIEF FEVER REDUCER CHILDREN,246991,"symptom word: ""pain"" | long name: 5 words"
clear-choice-regular-strength-pain-reliever,CLEAR CHOICE REGULAR STRENGTH PAIN RELIEVER,246991,"symptom word: ""pain"" | retail phrase: ""regular strength"" | long name: 6 words"
circle-k-pain-reliever-extra-strength,CIRCLE K PAIN RELIEVER EXTRA STRENGTH,246991,"symptom word: ""pain"" | retail phrase: ""extra strength"" | long name: 6 words"
pediacare-childrens-grape,PEDIACARE CHILDRENS GRAPE,246991,"retail phrase: ""childrens"""
lil-drug-store-childrens-pain-and-fever,LIL DRUG STORE CHILDRENS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 7 words"
aurophen-extra-strength-for-adults,AUROPHEN EXTRA STRENGTH FOR ADULTS,246991,"retail phrase: ""extra strength"" | long name: 5 words"
genexa-acetaminophen-pm-extra-strength,GENEXA ACETAMINOPHEN PM EXTRA STRENGTH,246991,"retail phrase: ""extra strength"" | long name: 5 words"
genexa-childrens-acetaminophen,GENEXA CHILDRENS ACETAMINOPHEN,246991,"retail phrase: ""childrens"""
foster-and-thrive-rapid-release-pain-relief,FOSTER AND THRIVE RAPID RELEASE PAIN RELIEF,246991,"symptom word: ""pain"" | long name: 7 words"
foster-and-thrive-pain-reliever,FOSTER AND THRIVE PAIN RELIEVER,246991,"symptom word: ""pain"" | long name: 5 words"
genexa-kids-pain-and-fever,GENEXA KIDS PAIN AND FEVER,246991,"symptom word: ""pain"" | long name: 5 words"
foster-and-thrive-infants-pain-and-fever,FOSTER AND THRIVE INFANTS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 7 words"
adwe-childrens-pain-fever,ADWE CHILDRENS PAIN FEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"""
gericare-liquid-pain-relief,GERICARE LIQUID PAIN RELIEF,246991,"symptom word: ""pain"" | form word: ""liquid"""
notts-muscle-aches-and-pain,NOTTS - MUSCLE ACHES AND PAIN,246991,"symptom word: ""pain"" | long name: 5 words"
nite-time-coldflu-medicine-cherry,NITE-TIME COLD/FLU MEDICINE CHERRY,246991,"symptom word: ""cold"" | long name: 6 words"
foster-and-thrive-childrens-pain-and-fever,FOSTER AND THRIVE CHILDRENS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 7 words"
fever-reducing-childrens,FEVER REDUCING CHILDRENS,246991,"symptom word: ""fever"" | retail phrase: ""childrens"""
extra-strength-pain-releif,EXTRA STRENGTH PAIN RELEIF,246991,"symptom word: ""pain"" | retail phrase: ""extra strength"""
extra-strength-no-pain,EXTRA STRENGTH NO-PAIN,246991,"symptom word: ""pain"" | retail phrase: ""extra strength"""
good-sense-pain-and-fever,GOOD SENSE PAIN AND FEVER,246991,"symptom word: ""pain"" | long name: 5 words"
extra-strength-acetaminohpen-adult-rapid-burst-cherry,EXTRA STRENGTH ACETAMINOHPEN ADULT RAPID BURST CHERRY,246991,"retail phrase: ""extra strength"" | long name: 7 words"
good-neighbor-pharmacy-infants-pain-and-fever,GOOD NEIGHBOR PHARMACY INFANTS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 7 words"
good-neighbor-pharmacy-pain-and-fever-childrens,GOOD NEIGHBOR PHARMACY PAIN AND FEVER CHILDRENS,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 7 words"
vicks-painquil-liquicaps-pain-reliever,VICKS PAINQUIL LIQUICAPS PAIN RELIEVER,246991,"symptom word: ""pain"" | long name: 5 words"
muscle-aches-and-pains-acetaminophen-extended-release,MUSCLE ACHES AND PAINS ACETAMINOPHEN EXTENDED RELEASE,246991,long name: 7 words
extra-strength-mini-softgels-pain-reliever,EXTRA STRENGTH MINI SOFTGELS PAIN RELIEVER,246991,"symptom word: ""pain"" | form word: ""softgels"" | retail phrase: ""extra strength"" | long name: 6 words"
acetaminophen-gelcaps-extra-strength,ACETAMINOPHEN GELCAPS EXTRA STRENGTH,246991,"retail phrase: ""extra strength"""
family-wellness-childrens-pain-reliever-574,FAMILY WELLNESS CHILDRENS PAIN RELIEVER 574,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words"
equate-pain-and-fever-infants,EQUATE PAIN AND FEVER INFANTS,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 5 words"
equate-pain-and-fever-childrens,EQUATE PAIN AND FEVER CHILDRENS,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words"
